Geografia;100;¿Cúal es la capital de Mexico?;Ciudad de Mexico;Y;New Mexico;N;México;N;Monterrey;N
Geografia;200;¿Cúal es la altura del everest?;9.000 m;N;10.000 m;N;8.848 m;Y;8.600 m;N
Geografia;300;¿Cúal es el rio mas largo del mundo?;El nilo;N;El Amazonas;Y;Yangtsé;N;El Lena;N
Geografia;400;¿Cuál es la que está más cerca de la capital federal de Alemania?;Frankfurt;N;Colonia;Y;Hannover;N;Hamburgo;N
Geografia;500;¿Cúal es el pico mas alto de España?;Mulhacén;N;Puig Major;N;Veleta;N;Teide;Y
Bolivia;100;¿Cúal es la capital de Bolivia?;Santa Cruz de la Sierra;N;Sucre;Y;Cochabamba;N;Ventormenta;N
Bolivia;200;¿Con que oceano tiene salida?;Pacifico;N;No tiene salida;Y;Atlántico;N;Antártico;N
Bolivia;300;¿Como se lama la moneda de Bolivia?;Dolar;N;Kina;N;Boliviano;Y;Peso;N
Bolivia;400;¿Cual de estos no es un plato tipico Boliviano?;Valdiviano;N;QOQO de pollo;N;Trucha a la Crema;N;Bollo de pescado;Y
Bolivia;500;¿Cúal es el nombre del himno de Bolivia?;Himno nacional de la República de Bolivia;N;Bolivia, tierra Amada;N;Bolivianos, el Hado propicio;Y;Bolivia Tierra prospera;N
Videojuegos;100;¿Cúal es el nombre de la cuarta entrega de The Elder Scrolls?;Daggerfall;N;Arena;N;Oblivion;Y;Skyrim;N
Videojuegos;200;¿Cúal de estos Pokemons iniciales pertenece a la primera generación?;Squirtle;Y;Chikorita;N;Mudkip;N;Chimchar;N
Videojuegos;300;¿Cúal de estos campeones del lol no es un support?;Alistar;N;Thresh;N;Sona;N;Veigar;Y
Videojuegos;400;¿Cúal de estos juegos no pertenece a Blizzard?;World of warcraft;N;Heroes os the Strom;N;Dragon Age;Y;Starcraft;N
Videojuegos;500;¿Cúal es el primer videojuego de la historia?;Dispositivo de Entretenimiento de Tubos de Rayos Catódios;Y;Spacewar;N;OXO (tres en raya);N;Pong;N
Matemáticas;100;¿Quanto vale 1/0?;0;N;1;N;0,5;N;Indeterminado;Y
Matemáticas;200;¿Quanto vale la tangente de 90?;0;N;1;N;Indeterminado;Y;1,876;N
Matemáticas;300;¿Cuanto vale el coseno de 0?;1;Y;Indeterminado;N;0,67;N;2;N
Matemáticas;400;¿Que numero sigue la sucession 1 1 2 3 5?;8;Y;13;N;4;N;7;N
Matemáticas;500;¿Cúal numero sigue esta sucession 1 11 21 1211 111221?;11111111;N;12121212;N;212121;N;312211;Y
Historia;100;¿Quien descubrio America?;Américo Vespucio;Y;Cristóbal Colón;N;Fernando de Magallanes;N;Martín Alonso Pinzón;N
Historia;200;¿En que año fue la revolución francesa?;1789;Y;1800;N;1792;N;1778;N
Historia;300;¿Cúal fue el primer país en sacasr de encima a los franceses (Napoleon)?;Rusia;N;Francia;N;Alemania;N;España;Y
Historia;400;¿En  que país se inició la revolución industrial?;Alemania;N;Turquia;N;Gran Bretaña;Y;España;N
Historia;500;¿Cuando Ferran VII murió cuantos años tenia Isabel?;3;Y;18;N;5;N;12;N
Historia;500;¿En que sector de la agricultura se dava el contrato de rebassa morta?;Vinícola;Y;Arroz;N;Fruta;N;Cereales;N
Química;100;¿Cúal de los siguientes elementos de la tabla periodíca no es un gas noble?;Helio;N;Neón;N;Bromo;Y;Radón;N
Química;200;¿Cúal es el número atomíco del Uranio?;92;Y;80;N;100;N;90;N
Química;300;¿Cúal de los siguientes metales no es alcalino?;H;N;Li;N;Na;N;Ba;Y
Química;400;¿Cúal de los siguientes no es un alcalinotérreo?;Be;N;Mg;N;Ca;N;K;Y
Química;500;¿Cúal de los siguientes no es alojeno?;F;N;I;N;At;N;Ga;Y
